Crop,Week,Temp_C,Humidity_RH,pH_Water,N_ppm,P_ppm,K_ppm,EC_Target
strawberry,18,26.15,38.57,5.88,104.24,47.62,194.24,0.667
pepper,14,18.23,76.98,7.36,166.24,63.12,326.24,1.072
bean,5,40.0,77.68,7.28,80.57,27.48,118.97,0.438
spinach,2,12.92,63.57,6.86,105.42,31.71,126.42,0.508
cucumber,1,21.38,27.23,5.34,119.4,41.7,146.4,0.593
pak_choi,4,23.79,49.55,6.2,169.37,59.68,249.37,0.923
cilantro,5,19.59,73.01,5.58,144.02,42.01,184.02,0.714
spinach,4,33.54,43.97,6.61,155.97,52.97,214.34,0.816
lettuce,4,23.05,63.77,5.4,157.93,48.96,197.93,0.781
cucumber,10,19.27,69.41,6.55,195.61,67.81,345.61,1.175
bean,6,16.65,92.03,6.44,147.13,53.57,207.13,0.787
pak_choi,1,20.38,74.27,5.61,96.88,38.44,116.88,0.486
lettuce,2,21.79,88.34,6.17,84.79,27.39,94.79,0.399
eggplant,7,19.03,50.38,4.65,153.38,63.94,306.38,1.01
pepper,1,23.91,58.84,5.78,115.58,37.79,135.58,0.557
strawberry,7,20.75,68.76,7.26,108.67,49.34,208.67,0.707
zucchini,7,32.79,57.38,6.9,157.56,53.09,260.32,0.908
zucchini,6,27.11,42.25,6.5,184.89,62.45,304.89,1.065
bean,4,30.75,54.3,5.73,128.32,45.81,183.37,0.689
zucchini,4,26.27,60.0,4.35,152.7,50.85,254.7,0.884
tomato,8,18.61,64.14,6.76,167.82,78.91,377.82,1.204
cucumber,2,29.6,57.6,4.84,98.46,33.19,122.52,0.49
pepper,11,21.85,80.14,5.19,165.23,62.62,325.23,1.067
cilantro,4,23.97,37.6,5.67,122.56,34.28,158.56,0.608
lettuce,4,25.46,79.32,5.6,161.91,50.96,201.91,0.8
lettuce,6,21.52,47.54,5.44,156.14,48.07,196.14,0.772
mint,5,22.99,58.6,5.94,190.15,50.08,220.15,0.888
pepper,12,18.98,54.37,5.62,159.97,59.98,319.97,1.041
zucchini,4,26.01,42.48,6.07,169.26,54.63,289.26,0.99
mint,6,23.19,60.31,5.14,191.67,50.83,221.67,0.895
pepper,3,25.91,57.28,5.79,123.52,41.76,143.52,0.596
eggplant,8,25.49,67.77,6.51,162.85,66.42,342.85,1.103
cilantro,5,35.97,36.08,6.45,91.57,25.96,118.01,0.454
mint,2,24.58,60.78,5.25,105.46,32.73,105.46,0.47
lettuce,1,25.91,51.54,7.22,88.68,29.34,98.68,0.418
arugula,2,26.22,64.87,6.63,104.6,32.3,124.6,0.504
pak_choi,6,28.29,46.91,6.72,166.35,58.39,245.65,0.907
melon,4,26.16,70.05,5.95,165.6,72.8,385.6,1.203
spinach,6,31.63,60.75,5.65,166.35,56.44,228.72,0.871
eggplant,15,18.51,48.48,6.86,169.13,69.57,349.13,1.134
zucchini,8,18.4,71.65,6.85,186.61,63.31,306.61,1.073
melon,2,17.79,75.06,5.93,137.08,48.54,177.08,0.699
mint,5,17.88,42.64,5.07,187.69,48.84,217.69,0.876
strawberry,15,19.43,65.25,5.83,104.9,47.45,204.9,0.689
mint,9,30.38,57.18,6.43,173.65,45.04,201.51,0.81
spinach,1,19.43,74.72,6.45,89.51,24.76,109.51,0.432
zucchini,5,24.58,52.92,4.8,149.71,49.36,251.71,0.869
cilantro,5,27.12,60.58,7.38,140.28,40.14,180.28,0.696
cilantro,5,27.52,63.93,6.17,141.25,40.62,181.25,0.7
pepper,3,28.15,51.97,5.52,130.9,45.54,150.81,0.631
melon,1,28.61,53.19,7.96,114.2,40.46,147.46,0.583
spinach,5,20.27,36.43,6.33,161.96,53.98,224.96,0.85
melon,5,21.64,63.83,5.97,147.49,63.74,367.49,1.116
zucchini,9,19.76,33.29,5.05,164.91,55.45,272.91,0.951
strawberry,13,22.4,76.13,6.3,112.07,51.03,212.07,0.724
strawberry,7,32.39,52.87,7.3,93.44,42.38,180.27,0.61
melon,6,26.97,35.52,5.75,145.03,63.51,343.03,1.064
strawberry,11,27.88,52.03,6.68,104.9,47.45,204.9,0.689
spinach,1,19.97,49.39,6.57,102.42,31.21,122.42,0.494
mint,6,25.71,55.89,5.52,188.25,49.13,218.25,0.879
strawberry,1,27.43,58.47,6.91,96.49,43.25,126.49,0.513
lettuce,1,13.81,58.59,6.23,106.9,37.7,117.4,0.505
strawberry,8,28.43,74.46,8.11,91.08,41.36,174.79,0.593
cilantro,2,30.07,65.08,7.46,72.02,26.63,90.78,0.365
eggplant,5,33.75,57.42,6.02,140.07,57.62,289.02,0.939
bean,2,18.42,59.77,6.59,121.76,40.88,121.76,0.548
melon,10,12.85,70.23,6.29,172.55,75.78,403.55,1.257
strawberry,5,27.56,62.61,4.54,87.84,39.67,172.84,0.579
lettuce,7,26.45,54.41,5.78,163.2,51.6,203.2,0.806
arugula,3,25.01,56.38,5.24,165.89,42.95,205.89,0.8
arugula,2,13.5,54.42,5.93,107.53,32.77,128.53,0.518
arugula,1,24.27,50.56,6.08,91.19,25.6,111.19,0.44
cucumber,4,29.04,42.65,6.45,198.09,69.98,343.41,1.179
tomato,11,27.68,76.08,6.58,171.94,80.97,381.94,1.224
strawberry,8,26.18,41.82,5.54,102.42,46.21,202.42,0.677
cucumber,10,24.6,70.47,6.49,194.54,67.27,344.54,1.169
cilantro,5,15.57,39.85,7.42,128.36,37.18,164.36,0.636
eggplant,16,27.9,49.88,7.22,165.14,67.57,345.14,1.114
basil,5,29.1,75.7,7.97,119.56,31.19,144.07,0.569
tomato,15,27.04,67.84,6.82,165.9,77.95,375.9,1.195
basil,2,28.68,63.0,6.3,96.85,28.83,96.85,0.429
melon,11,24.34,83.48,6.21,154.03,67.01,374.03,1.148
cilantro,3,19.36,67.07,5.9,135.79,37.89,175.79,0.674
basil,4,26.62,57.51,6.84,148.59,39.3,178.59,0.707
pak_choi,5,34.5,70.63,6.67,142.04,50.9,206.44,0.77
arugula,5,28.82,58.8,4.99,132.03,33.0,165.05,0.637
mint,7,21.17,43.36,5.31,185.47,47.73,215.47,0.865
pak_choi,6,26.56,100.0,4.83,139.03,48.26,207.03,0.76
bean,1,37.74,37.12,7.14,72.27,23.98,72.27,0.325
spinach,4,26.09,64.77,5.86,180.62,60.31,250.62,0.948
melon,5,25.52,61.0,5.59,151.23,65.62,371.23,1.134
melon,6,22.61,63.51,6.98,160.58,70.29,380.58,1.179
basil,8,18.64,50.6,5.98,152.77,41.38,182.77,0.727
basil,6,26.44,57.24,4.51,138.46,39.48,163.96,0.659
arugula,5,25.72,24.57,6.1,148.57,38.28,184.57,0.716
spinach,4,27.39,49.02,6.43,178.71,59.35,248.71,0.939
bean,9,32.96,40.54,7.34,123.9,44.92,174.97,0.663
pak_choi,3,13.01,62.6,8.27,144.46,49.73,216.46,0.792
strawberry,4,30.66,60.49,6.94,82.87,36.83,110.47,0.444
strawberry,2,20.61,45.8,6.79,86.36,38.18,116.36,0.465
eggplant,16,27.29,63.95,6.6,164.41,67.2,344.41,1.111
pepper,6,24.86,48.68,5.26,181.66,50.83,241.66,0.914
arugula,3,7.16,62.67,7.29,165.3,40.65,207.3,0.797
melon,11,25.66,86.47,6.81,165.14,72.57,385.14,1.201
pak_choi,4,15.89,67.05,5.93,164.24,57.12,244.24,0.898
cucumber,9,21.56,33.1,6.55,186.22,66.11,321.22,1.106
lettuce,6,33.27,70.69,5.41,131.4,40.44,165.07,0.65
pak_choi,6,31.21,31.18,7.27,145.35,52.58,209.64,0.786
tomato,11,29.13,62.99,6.06,160.14,75.24,363.03,1.154
arugula,4,22.4,61.03,6.78,158.08,39.04,198.08,0.762
spinach,1,27.16,75.89,5.91,106.89,33.44,126.89,0.515
eggplant,1,17.45,37.63,5.64,110.58,46.29,137.58,0.568
basil,1,30.34,68.15,5.38,91.51,27.16,91.51,0.405
bean,4,37.56,30.97,6.04,85.7,30.59,122.49,0.461
pepper,11,23.82,36.89,5.88,143.67,53.84,287.67,0.936
cilantro,2,14.63,57.6,5.43,83.89,31.45,104.89,0.425
mint,5,35.13,84.44,6.82,147.14,38.2,170.72,0.687
lettuce,4,25.6,71.23,6.88,158.61,49.3,198.61,0.784
bean,1,22.58,41.85,7.53,111.72,38.86,111.72,0.506
pepper,9,32.13,85.8,6.25,137.79,51.37,277.96,0.901
cucumber,1,29.7,56.41,5.21,116.03,39.04,144.5,0.578
cilantro,4,26.85,51.67,5.82,140.49,40.24,180.49,0.697
basil,1,37.56,45.94,7.01,59.72,15.59,59.72,0.26
tomato,5,25.09,48.09,6.92,212.47,66.24,292.47,1.102
eggplant,3,33.06,58.6,4.36,80.37,33.2,101.31,0.414
tomato,6,24.14,57.67,6.39,207.5,63.75,287.5,1.078
strawberry,1,37.66,72.36,6.2,58.8,25.85,80.11,0.318
arugula,1,31.39,72.91,6.22,85.14,24.6,103.1,0.41
mint,3,30.21,64.08,5.71,181.96,48.96,209.97,0.85
basil,8,11.54,48.11,7.13,165.31,45.91,196.81,0.787
cucumber,3,27.42,68.37,6.05,198.31,69.16,348.31,1.188
pak_choi,2,21.86,68.48,6.23,109.27,44.63,129.27,0.546
eggplant,9,21.92,56.46,5.9,166.98,68.49,346.98,1.123
spinach,5,14.25,55.99,5.2,187.43,62.22,260.93,0.985
bean,4,35.13,55.02,6.04,110.9,39.73,158.06,0.595
zucchini,8,20.02,43.49,5.92,182.32,61.16,302.32,1.053
eggplant,2,26.54,77.31,6.05,113.28,46.64,143.28,0.585
pepper,8,34.42,80.75,5.68,128.04,47.87,257.23,0.835
spinach,6,26.44,50.1,4.52,162.29,55.65,221.79,0.848
pepper,14,22.12,25.1,4.73,118.9,44.45,238.9,0.776
pak_choi,2,29.3,60.66,6.7,98.31,39.55,117.53,0.493
strawberry,15,35.88,38.22,6.97,68.14,30.75,134.5,0.45
spinach,1,25.21,45.57,5.37,100.85,30.43,120.85,0.486
eggplant,7,21.71,61.91,4.48,148.24,61.37,301.24,0.985
basil,8,24.3,64.42,5.35,146.3,38.15,176.3,0.696
strawberry,12,28.41,61.18,5.7,105.87,47.99,204.64,0.691
eggplant,3,29.35,28.55,5.75,103.76,43.29,129.55,0.533
melon,12,22.96,75.31,6.1,159.1,69.55,379.1,1.172
strawberry,9,25.65,57.89,6.36,111.79,50.9,211.79,0.722
spinach,1,31.33,57.83,7.25,83.09,23.54,101.09,0.401
tomato,7,17.58,79.43,6.32,208.24,64.12,288.24,1.081
tomato,7,16.56,65.58,5.56,197.68,58.84,277.68,1.03
cucumber,3,24.44,38.78,6.11,190.73,68.37,325.73,1.128
melon,10,29.2,48.81,6.85,153.29,67.0,365.37,1.129
pepper,10,28.83,100.0,7.24,151.26,56.13,307.27,0.993
spinach,4,14.6,55.7,7.19,194.71,65.86,268.21,1.02
tomato,16,26.92,47.01,6.25,171.7,80.85,381.7,1.223
eggplant,15,13.94,28.67,7.87,129.71,52.86,273.71,0.88
basil,7,33.66,33.71,6.4,117.69,33.29,139.6,0.56
cucumber,1,32.84,71.21,6.16,96.28,31.04,121.93,0.481
cucumber,12,27.81,70.93,6.62,192.02,66.01,342.02,1.157
basil,6,15.23,71.61,6.23,155.02,42.51,185.02,0.738
spinach,5,14.07,41.08,7.82,163.97,54.99,226.97,0.86
zucchini,6,28.24,26.56,6.76,167.89,57.16,275.03,0.964
strawberry,12,13.5,50.52,5.95,119.46,54.48,224.46,0.768
pepper,6,19.06,63.67,6.89,177.23,48.61,237.23,0.893
pepper,11,20.1,44.77,6.26,155.06,57.53,315.06,1.018
mint,5,10.16,73.66,5.1,196.18,50.84,227.68,0.915
melon,5,25.22,45.51,6.12,166.51,73.26,386.51,1.208
bean,8,19.09,63.94,6.14,146.58,53.29,206.58,0.784
cucumber,2,29.23,68.76,5.86,110.22,35.85,139.11,0.55
spinach,6,14.7,91.78,6.88,185.46,61.23,258.96,0.975
strawberry,18,27.28,68.5,7.03,110.52,50.26,210.52,0.716
spinach,3,26.56,47.18,6.93,164.47,52.24,234.47,0.87
cucumber,5,20.39,55.25,5.06,190.87,65.44,340.87,1.152
bean,3,31.52,58.39,6.73,118.3,41.26,171.97,0.639
pak_choi,4,40.0,74.5,5.16,110.35,39.17,161.55,0.6
pak_choi,4,21.02,52.72,7.37,170.6,60.3,250.6,0.929
eggplant,11,20.72,50.33,5.64,172.71,71.35,352.71,1.151
bean,9,24.27,60.56,6.85,143.48,51.74,203.48,0.769
zucchini,9,12.51,70.55,8.1,162.47,54.23,270.47,0.94
arugula,2,30.01,56.41,4.31,75.06,21.73,90.85,0.362
zucchini,9,20.67,82.12,4.76,154.58,51.79,256.58,0.893
bean,2,24.71,64.9,7.44,121.3,40.65,121.3,0.546
mint,8,18.87,50.85,6.64,191.43,50.71,221.43,0.894
arugula,5,22.15,70.11,7.12,161.57,40.78,201.57,0.779
strawberry,13,9.99,47.43,5.54,117.56,53.53,222.56,0.759
pepper,11,31.94,53.61,5.5,145.87,55.3,286.96,0.941
arugula,1,19.86,62.89,6.67,96.27,28.13,116.27,0.464
basil,7,26.36,59.68,5.84,158.42,44.21,188.42,0.754
strawberry,3,26.83,45.75,6.28,87.39,38.69,117.39,0.47
arugula,5,24.84,66.3,6.19,154.33,37.16,194.33,0.744
pepper,9,14.4,61.29,6.29,164.96,61.48,332.96,1.079
mint,6,21.23,66.06,6.56,192.11,51.05,222.11,0.897
pak_choi,1,26.86,64.07,6.44,99.48,39.74,119.48,0.499
basil,6,33.76,62.12,7.42,129.42,35.76,154.24,0.616
mint,7,30.8,91.04,6.72,173.38,45.47,200.86,0.809
arugula,2,24.84,51.86,6.22,91.88,25.94,111.88,0.443
lettuce,5,28.33,53.77,6.48,154.8,47.7,194.4,0.765
tomato,11,19.36,75.91,6.8,170.81,80.4,380.81,1.219
zucchini,4,26.07,56.6,5.46,170.92,55.46,290.92,0.998
zucchini,5,20.48,62.51,6.5,179.9,59.95,299.9,1.041
eggplant,6,25.1,82.45,7.2,173.83,71.91,353.83,1.156
arugula,3,17.87,74.91,5.43,160.75,40.37,200.75,0.775
pepper,6,23.82,63.75,5.23,181.39,50.69,241.39,0.913
strawberry,12,23.02,78.88,5.78,101.76,45.88,201.76,0.674
tomato,6,17.27,70.91,6.97,196.92,58.46,276.92,1.027
strawberry,17,16.5,33.97,6.4,94.75,42.87,184.75,0.622
zucchini,2,24.89,96.25,5.27,124.09,47.04,154.09,0.627
tomato,12,21.98,68.46,7.28,164.97,77.49,374.97,1.191
pak_choi,6,18.28,75.13,6.92,166.88,58.44,246.88,0.911
eggplant,12,26.99,46.4,4.57,140.58,57.54,293.58,0.948
tomato,3,15.58,39.61,5.81,110.25,46.12,137.25,0.566
cilantro,4,36.18,48.95,5.79,102.59,28.66,132.77,0.509
cilantro,6,18.51,68.21,7.88,124.35,36.68,158.35,0.616
cilantro,2,19.11,64.43,5.43,76.59,28.3,96.59,0.389
bean,3,19.51,60.39,5.55,151.02,55.51,211.02,0.805
pepper,14,25.11,64.47,6.51,161.78,60.89,321.78,1.05
cilantro,4,24.67,45.59,5.26,145.12,42.56,185.12,0.719
pak_choi,3,19.27,55.4,6.54,175.26,62.63,255.26,0.951
bean,7,17.35,67.18,6.0,138.65,49.32,198.65,0.746
tomato,7,23.91,47.88,6.32,202.41,61.2,282.41,1.053
arugula,1,38.25,66.33,6.88,67.88,20.09,81.73,0.327
pepper,6,30.5,48.41,5.78,162.9,44.45,218.4,0.821
zucchini,5,22.06,47.21,6.23,180.82,60.41,300.82,1.045
basil,6,18.76,68.68,5.29,152.89,41.44,182.89,0.727
pak_choi,6,13.94,53.15,6.54,181.46,64.48,265.46,0.986
mint,9,30.42,79.5,6.05,181.42,48.98,209.24,0.848
spinach,6,23.94,40.5,6.61,178.54,59.27,248.54,0.938
strawberry,13,16.66,62.12,4.67,92.05,41.77,177.05,0.6
melon,9,19.8,38.29,5.9,161.41,71.71,359.41,1.143
eggplant,6,20.13,72.62,7.5,164.61,67.31,344.61,1.112
strawberry,7,20.26,66.83,5.81,111.73,50.87,211.73,0.722
zucchini,3,20.38,45.17,6.17,178.59,59.29,298.59,1.035
bean,5,15.8,62.18,5.53,127.86,43.93,187.86,0.694
zucchini,6,25.3,53.54,6.3,179.15,59.58,299.15,1.037
pak_choi,4,17.22,48.94,6.9,166.7,58.35,246.7,0.91
lettuce,7,18.83,80.41,6.15,162.65,51.32,202.65,0.803
tomato,7,30.32,34.64,6.84,158.92,46.24,225.35,0.83
lettuce,4,22.04,88.97,5.48,152.23,46.12,192.23,0.753
eggplant,16,22.9,66.13,5.95,162.82,66.41,342.82,1.103
arugula,2,35.39,88.14,6.01,76.45,22.66,92.02,0.369
zucchini,9,17.51,47.89,5.9,187.02,63.51,307.02,1.075
pepper,4,24.39,37.41,6.43,163.95,45.97,217.95,0.825
spinach,6,28.85,49.94,5.8,180.3,60.91,248.51,0.944
bean,3,25.67,36.8,6.11,126.39,45.19,180.39,0.679
spinach,6,16.2,57.75,6.64,173.51,56.75,243.51,0.914
pak_choi,4,25.99,65.63,6.82,178.71,64.36,258.71,0.968
cucumber,10,25.16,78.54,6.58,196.38,68.19,346.38,1.178
zucchini,8,14.54,42.87,6.2,190.47,63.74,316.47,1.101
mint,2,39.29,78.77,4.97,43.07,11.31,43.07,0.188
eggplant,6,24.64,62.3,6.74,168.61,69.3,348.61,1.131
lettuce,5,32.91,41.67,6.71,137.1,42.97,171.2,0.677
arugula,1,34.03,64.5,8.01,70.22,21.73,83.6,0.339
lettuce,1,22.93,31.53,5.68,77.2,25.1,86.2,0.364
lettuce,4,22.53,27.28,6.31,142.44,44.22,178.44,0.704
pak_choi,5,27.49,48.85,7.1,170.73,60.36,250.73,0.929
basil,2,22.09,74.12,7.01,106.63,33.31,106.63,0.476
lettuce,6,37.74,79.56,6.35,114.73,36.13,143.05,0.567
pak_choi,6,36.99,89.82,5.35,131.61,47.55,190.04,0.712
lettuce,4,25.02,48.87,6.72,159.84,49.92,199.84,0.79
strawberry,17,28.35,73.99,6.23,107.18,48.64,206.13,0.698
tomato,2,26.68,30.41,6.81,103.82,42.91,130.82,0.535
zucchini,1,14.12,60.5,6.35,130.34,49.42,161.84,0.659
cilantro,2,15.05,89.0,6.58,76.31,28.15,96.31,0.387
lettuce,2,23.03,34.89,6.52,76.72,24.86,85.72,0.361
pepper,7,23.97,54.52,5.74,153.49,56.75,313.49,1.01
melon,3,15.66,47.84,4.54,116.78,41.39,150.78,0.596
zucchini,8,20.26,58.78,7.43,180.12,60.06,300.12,1.042
spinach,1,23.57,73.48,5.69,98.83,29.41,118.83,0.476
spinach,5,24.73,68.62,8.3,158.07,53.54,217.57,0.828
tomato,4,33.65,67.72,5.5,170.93,52.25,237.37,0.888
cilantro,3,21.3,46.62,6.54,141.38,40.69,181.38,0.701
spinach,2,32.06,39.53,6.52,87.33,28.1,102.89,0.421
cilantro,2,19.32,39.34,5.46,76.07,29.04,94.07,0.384
cucumber,10,20.86,68.75,7.34,202.21,71.11,352.21,1.206
basil,5,20.2,40.11,6.95,158.46,44.23,188.46,0.754
basil,4,11.53,62.54,6.01,156.84,41.67,188.34,0.746
spinach,6,20.28,87.45,6.47,184.36,62.18,254.36,0.966
spinach,3,35.08,75.25,5.61,143.41,48.08,198.55,0.752
basil,6,21.09,39.14,6.05,133.44,35.22,160.44,0.635
cucumber,5,26.55,54.76,6.04,205.66,72.83,355.66,1.223
arugula,1,25.16,53.91,6.74,103.9,31.95,123.9,0.501
pepper,8,27.43,78.64,6.71,154.56,57.28,314.56,1.015
tomato,11,27.79,52.49,5.5,164.04,77.02,374.04,1.186
eggplant,9,27.46,44.0,4.62,144.13,59.31,297.13,0.965
pak_choi,2,16.32,44.02,5.97,101.65,40.83,121.65,0.509
arugula,1,37.2,56.81,5.78,79.56,25.3,94.04,0.384
arugula,5,30.32,56.16,6.61,146.4,35.99,183.62,0.706
pak_choi,2,22.45,94.03,6.19,95.67,37.83,115.67,0.481
pepper,10,36.09,50.46,5.78,128.53,49.12,249.7,0.824
cilantro,5,16.92,21.49,5.57,127.11,36.55,163.11,0.63
basil,3,24.87,49.94,6.08,144.31,37.16,174.31,0.686
basil,5,21.29,55.56,6.34,146.53,38.27,176.53,0.697
tomato,15,35.51,90.92,6.79,134.2,63.23,296.89,0.953
lettuce,1,24.81,82.06,5.75,89.85,29.92,99.85,0.424
cilantro,2,24.36,22.97,5.0,81.7,31.85,99.7,0.411
pepper,11,26.75,73.61,6.82,155.45,57.73,315.45,1.02
lettuce,6,17.95,87.39,7.33,161.9,50.95,201.9,0.8
arugula,5,23.16,70.18,5.66,156.12,38.06,196.12,0.753
mint,4,20.03,69.66,5.97,187.55,48.78,217.55,0.875
spinach,6,20.78,58.4,7.01,182.68,61.34,252.68,0.958
mint,8,20.16,82.33,5.69,192.34,51.17,222.34,0.898
pak_choi,3,37.35,69.03,6.33,125.8,44.91,183.36,0.683
cucumber,5,29.84,70.68,6.47,190.39,66.85,332.11,1.137
arugula,5,26.54,64.19,6.61,157.1,38.55,197.1,0.757
tomato,12,18.36,42.27,5.94,168.4,79.2,378.4,1.207
lettuce,1,17.06,51.14,6.9,86.93,28.46,96.93,0.409
lettuce,7,26.88,75.83,5.12,158.32,49.16,198.32,0.783
cilantro,1,20.35,54.79,5.52,87.85,33.92,107.85,0.443
strawberry,11,32.59,53.53,6.04,84.98,38.18,171.21,0.568
mint,7,17.29,60.7,7.0,189.81,49.9,219.81,0.886
cilantro,4,34.75,79.42,6.43,108.94,30.55,140.84,0.541
zucchini,6,19.15,63.56,6.17,175.89,57.94,295.89,1.022
cucumber,4,25.78,68.56,6.81,210.42,75.21,360.42,1.246
tomato,2,26.4,55.36,5.76,113.8,46.9,143.8,0.587
eggplant,4,14.51,84.17,6.95,132.38,55.69,163.88,0.679
eggplant,14,23.24,43.56,5.01,177.95,73.97,357.95,1.176
zucchini,3,28.55,61.76,6.09,182.52,61.75,300.54,1.051
cilantro,1,26.39,65.04,6.36,79.0,29.5,99.0,0.4
basil,5,31.93,50.15,6.39,132.69,35.47,159.15,0.631
cilantro,2,19.26,47.78,6.74,87.54,33.77,107.54,0.441
pepper,11,40.0,44.39,5.94,106.32,40.36,208.72,0.685
strawberry,6,26.29,81.47,7.15,107.12,48.56,207.12,0.7
spinach,2,21.22,92.23,5.68,100.5,30.25,120.5,0.485
mint,9,25.29,47.06,6.4,203.06,56.53,233.06,0.95
basil,7,29.96,51.31,5.53,133.03,33.57,161.26,0.632
cilantro,2,24.29,77.29,4.0,70.47,26.74,87.47,0.356
pepper,6,17.75,26.11,7.62,142.38,41.19,187.38,0.715
basil,1,22.47,66.39,5.67,97.89,28.94,97.89,0.433
tomato,5,22.72,79.03,6.29,203.55,61.77,283.55,1.059
strawberry,4,17.26,65.67,5.84,86.33,38.17,116.33,0.464
cucumber,3,16.82,53.73,6.77,206.16,73.08,356.16,1.225
arugula,4,22.05,67.43,6.89,161.74,40.87,201.74,0.78
bean,6,26.64,44.3,5.7,140.23,50.12,200.23,0.753
spinach,5,23.93,71.9,5.74,185.98,62.99,255.98,0.974
spinach,2,22.86,61.17,6.1,103.7,31.85,123.7,0.5
zucchini,4,30.6,61.29,6.55,162.68,53.68,273.32,0.944
bean,2,29.22,39.81,5.4,98.73,32.1,98.73,0.443
mint,6,23.49,54.8,4.94,159.03,41.27,184.53,0.742
cucumber,9,24.54,71.39,6.41,200.38,70.19,350.38,1.198
pak_choi,6,27.18,67.62,6.37,165.95,57.98,245.95,0.906
pak_choi,2,19.42,54.76,6.57,102.62,41.31,122.62,0.514
strawberry,20,18.56,35.71,5.7,100.67,45.84,190.67,0.65
pepper,10,23.55,53.45,5.47,152.15,56.07,312.15,1.004
arugula,4,25.75,65.81,6.34,165.99,43.0,205.99,0.8
melon,9,25.89,62.89,6.98,160.31,70.16,380.31,1.178
cucumber,10,21.91,42.08,6.96,202.59,71.29,352.59,1.208
mint,4,12.36,64.15,6.78,191.75,48.63,223.25,0.894
bean,5,30.76,48.52,5.64,127.28,45.29,182.31,0.684
lettuce,2,24.81,53.73,7.81,76.76,25.63,85.26,0.362
pak_choi,1,16.19,60.21,6.14,96.98,38.49,116.98,0.487
basil,2,15.08,80.8,7.19,95.95,27.97,95.95,0.424
mint,4,23.82,36.36,5.95,178.32,48.66,205.32,0.834
cucumber,12,31.41,67.6,5.43,173.5,59.82,308.16,1.044
cucumber,2,15.13,74.22,7.84,109.52,37.76,135.02,0.544
spinach,2,25.85,86.84,6.26,97.36,28.68,117.36,0.469
mint,4,18.22,57.65,7.83,157.02,40.26,182.52,0.732
strawberry,11,15.18,66.71,6.99,106.59,48.3,206.59,0.697
spinach,6,31.54,65.71,7.73,124.73,40.05,176.79,0.659
cilantro,1,29.31,63.16,5.89,79.06,29.92,98.28,0.4
pepper,8,26.83,72.4,5.51,162.31,61.16,322.31,1.053
lettuce,4,31.26,39.67,5.71,136.6,44.23,168.68,0.674
lettuce,5,34.54,67.94,5.61,127.73,39.75,159.88,0.631
eggplant,12,35.26,52.91,8.26,107.81,44.42,221.61,0.721
tomato,6,22.48,53.45,6.98,208.47,64.24,288.47,1.082
melon,9,24.7,58.66,7.56,130.99,57.0,317.99,0.976
tomato,15,33.03,48.03,5.83,146.59,69.05,324.9,1.042
basil,2,25.99,59.96,5.9,104.2,32.1,104.2,0.464
bean,3,30.15,67.96,5.94,131.34,46.96,187.47,0.705
pepper,8,26.99,47.53,4.72,136.93,51.46,272.93,0.89
mint,5,18.86,45.85,6.19,186.16,48.08,216.16,0.869
melon,2,24.68,62.16,6.12,143.04,51.52,183.04,0.728
melon,6,32.69,77.63,5.38,141.36,62.09,330.41,1.03
lettuce,3,29.04,55.43,5.85,155.64,48.76,194.39,0.769
tomato,4,21.62,86.39,6.58,190.56,55.28,270.56,0.996
arugula,2,18.2,65.66,6.69,113.34,36.67,133.34,0.546
bean,9,26.58,38.05,3.7,104.53,37.27,149.53,0.562
strawberry,17,12.99,55.42,6.78,116.44,52.97,221.44,0.754
basil,1,32.46,44.65,6.62,82.82,24.09,82.82,0.366
lettuce,3,25.9,61.22,6.59,166.84,53.42,206.84,0.824
zucchini,1,21.08,57.97,6.09,127.45,48.72,157.45,0.643
melon,3,26.75,56.96,6.51,138.01,49.0,178.01,0.704
eggplant,1,23.65,76.91,5.88,124.53,52.27,154.53,0.639
melon,12,17.34,70.72,6.26,162.09,71.04,382.09,1.186
basil,7,26.48,38.95,6.54,128.47,32.73,155.47,0.611
mint,2,23.06,71.77,8.1,88.96,27.48,88.96,0.396
cilantro,2,29.17,67.33,6.32,67.73,24.22,87.03,0.345
arugula,1,31.86,63.08,5.61,90.53,27.58,108.21,0.436
eggplant,10,26.45,83.09,5.84,158.08,64.04,338.08,1.08
cilantro,1,17.56,73.89,5.35,83.8,31.9,103.8,0.423
bean,8,24.8,63.84,6.94,142.58,51.29,202.58,0.765
eggplant,10,28.28,60.75,6.71,172.65,71.45,351.13,1.148
spinach,1,24.3,42.34,7.03,99.94,29.97,119.94,0.482
arugula,2,19.76,72.58,4.98,94.48,30.24,111.48,0.456
zucchini,6,27.31,58.87,4.57,150.64,49.82,252.64,0.874
eggplant,15,24.98,51.04,6.9,176.7,73.35,356.7,1.17
zucchini,5,26.97,51.6,6.69,179.32,59.66,299.32,1.038
cilantro,4,34.34,77.62,7.4,112.0,31.7,144.39,0.556
spinach,2,32.0,78.34,6.29,85.91,25.36,103.51,0.414
strawberry,12,24.09,59.15,5.83,112.38,51.19,212.38,0.725
cucumber,12,28.15,74.21,4.82,164.69,56.98,291.52,0.99
melon,4,26.14,32.62,5.62,144.47,63.24,342.47,1.061
strawberry,12,32.21,49.11,6.18,93.76,42.51,181.13,0.612
tomato,5,20.92,46.82,5.82,207.12,63.56,287.12,1.076
mint,1,27.49,72.18,5.97,96.12,28.06,96.12,0.425
